part,label,width_mm,length_mm,height_mm,xmin_mm,ymin_mm,zmin_mm,source
sd_mount_pad,SD insulating adhesive / 0.30 mm,20.0,16.0,0.3,-28.9,21.0,4.55,Designed nominal geometry
sd_stop_19_5,SD edge stop,20.0,0.5,0.95,-28.0,19.25,4.6,Designed nominal geometry
sd_stop_19_5_bond,SD stop bond / 0.05 mm,20.0,0.5,0.05,-28.0,19.25,4.55,Designed nominal geometry
sd_stop_38_5,SD edge stop,20.0,0.5,0.95,-28.0,38.25,4.6,Designed nominal geometry
sd_stop_38_5_bond,SD stop bond / 0.05 mm,20.0,0.5,0.05,-28.0,38.25,4.55,Designed nominal geometry
sd_insertion_stop,SD insertion load stop,0.6,17.0,0.95,-7.6,20.5,4.6,Designed nominal geometry
sd_insertion_stop_bond,SD insertion stop bond / 0.05 mm,0.6,17.0,0.05,-7.6,20.5,4.55,Designed nominal geometry
interface_pcb,45P display / touch interface PCB allocation,15.00034,32.00034,0.80034,13.49983,22.99983,4.84983,Designed nominal geometry
interface_pad_24,Interface insulating mounting land,7.0,1.4,0.3,14.5,23.3,4.55,Designed nominal geometry
interface_pad_54,Interface insulating mounting land,7.0,1.4,0.3,14.5,53.3,4.55,Designed nominal geometry
display_zif,LCD ZIF / 45P 0.5 mm allocation,5.0,26.5,1.1,22.3,25.75,5.65,Designed nominal geometry
touch_zif,Touch ZIF / supplier pinout pending,3.5,5.0,1.1,15.25,24.5,5.65,Designed nominal geometry
interface_control,I/O + backlight control allocation,6.0,12.0,1.1,14.0,35.0,5.65,Designed nominal geometry
pack_protection,1S2P pack protection allocation,24.0,3.0,1.4,-22.0,8.5,0.7,Designed nominal geometry
pack_protection_pad,Pack protection adhesive pad,23.0,2.5,0.3,-21.5,8.75,0.4,Designed nominal geometry
case_screw_1,M1.6 × 5 case screw 1,3.21198,3.21234,5.00663,-26.60563,60.09383,3.29972,Designed nominal geometry
case_screw_2,M1.6 × 5 case screw 2,3.21198,3.21234,5.00663,23.39437,60.09383,3.29972,Designed nominal geometry
case_screw_3,M1.6 × 5 case screw 3,3.21198,3.21234,5.00663,-30.60563,8.39383,3.29972,Designed nominal geometry
case_screw_4,M1.6 × 5 case screw 4,3.21198,3.21234,5.00663,27.39437,2.39383,3.29972,Designed nominal geometry
case_screw_5,M1.6 × 5 case screw 5,3.21198,3.21234,5.00663,27.39437,-27.60617,3.29972,Designed nominal geometry
case_screw_6,M1.6 × 5 case screw 6,3.21198,3.21234,5.00663,-1.80563,-62.60617,3.29972,Designed nominal geometry
case_screw_7,M1.6 × 5 case screw 7,3.21198,3.21234,5.00663,-25.60563,-62.80617,3.29972,Designed nominal geometry
carrier_screw_1,M1.4 × 3 retainer screw 1,2.20049,2.20074,3.60072,-26.1,10.19963,1.54978,Designed nominal geometry
carrier_screw_2,M1.4 × 3 retainer screw 2,2.20049,2.20074,3.60072,23.9,10.19963,1.54978,Designed nominal geometry
carrier_screw_3,M1.4 × 3 retainer screw 3,2.20049,2.20074,3.60072,-24.1,57.59963,1.54978,Designed nominal geometry
carrier_screw_4,M1.4 × 3 retainer screw 4,2.20049,2.20074,3.60072,21.9,57.59963,1.54978,Designed nominal geometry
usb_cover,Flush USB-C silicone cover / prototype,0.45118,12.60118,6.00118,31.54941,-16.29327,0.60441,Designed nominal geometry
sd_cover,Flush SD silicone cover / prototype,0.45051,13.20051,2.60051,-32.00025,22.39975,5.09975,Designed nominal geometry
jack_cover,Flush jack silicone cover / prototype,6.50145,0.45291,6.50218,15.60915,-64.00145,1.17139,Designed nominal geometry
